,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5
167,600409.SH,20210924,13.1173,13.1173,11.9213,11.9309,-9.9058,1209946.35,12.323,-9.045,12.309,13.945,15.58,23.452,3.186,0.004,0.075,-0.346,0.421,0.984,0.96,0.973,0.965,35.741,-163.258,1.264,1.225,1.192,0.871,0.843,0.896,2259.83,-1838.805
168,600409.SH,20210923,13.5031,13.7538,12.8858,13.2427,0.146,872992.4,13.294,-1.928,12.685,14.115,15.546,20.267,-1.554,0.213,0.243,-0.265,0.508,0.85,0.823,0.837,0.799,42.881,-130.035,0.881,0.893,0.89,0.917,0.907,0.941,2330.24,-2545.941
169,600409.SH,20210922,12.799,13.397,12.7893,13.2234,-1.2958,841537.62,13.137,3.316,12.652,14.202,15.751,21.821,-1.859,0.156,0.354,-0.22,0.574,0.914,0.881,0.9,0.84,41.119,-194.908,0.829,0.838,0.836,0.885,0.887,0.899,2517.36,-2377.186
170,600409.SH,20210917,14.3518,14.6701,13.3102,13.397,-6.6528,1105009.19,13.792,-6.653,12.619,14.314,16.009,23.68,-2.384,0.346,0.508,-0.121,0.629,0.988,0.954,0.976,0.909,46.647,-143.221,1.121,1.063,1.105,0.911,0.926,0.919,2646.61,-2127.04
171,600409.SH,20210916,15.2874,15.7986,14.1589,14.3518,-3.6895,1239661.51,14.77,-6.12,12.496,14.369,16.241,26.065,-0.981,0.607,0.63,-0.03,0.66,1.082,1.052,1.076,1.026,57.232,2.56,1.273,1.19,1.323,0.971,0.996,0.976,2662.04,-2392.297
172,600409.SH,20210915,14.8437,15.2392,14.3711,14.9016,-0.8345,735704.15,14.837,0.39,12.389,14.327,16.264,27.046,0.069,0.632,0.676,0.009,0.667,1.115,1.097,1.118,1.109,58.072,14.436,0.727,0.696,0.748,0.98,1.006,0.97,2774.88,-2744.887
173,600409.SH,20210914,15.1427,15.6925,14.3711,15.027,-3.7675,946888.92,15.03,-0.764,12.348,14.273,16.198,26.977,0.3,0.697,0.719,0.054,0.665,1.101,1.101,1.112,1.151,60.411,48.573,0.965,0.868,0.91,1.005,1.022,0.979,2925.34,-2003.994
174,600409.SH,20210913,14.6991,15.9433,14.6798,15.6153,4.7894,1078546.86,15.413,6.233,12.3,14.193,16.086,26.677,1.322,0.822,0.744,0.092,0.651,1.072,1.1,1.101,1.175,65.221,106.112,1.089,0.979,1.066,1.039,1.056,1.02,2992.86,-1175.946
175,600409.SH,20210910,15.8854,16.0783,14.7859,14.9016,-4.0371,986454.21,15.255,-6.193,12.282,14.065,15.848,25.355,1.162,0.834,0.725,0.097,0.628,0.996,1.058,1.047,1.128,64.135,101.464,0.918,0.887,1.033,1.034,1.056,1.033,3064.23,-359.798
176,600409.SH,20210909,15.5189,15.9626,15.0173,15.5285,0.1244,924827.75,15.503,0.062,12.253,13.939,15.626,24.193,2.049,0.964,0.707,0.103,0.604,0.925,1.021,0.997,1.066,67.176,141.384,0.817,0.825,0.917,1.069,1.088,1.065,3051.69,-1310.697
177,600409.SH,20210908,14.9016,15.5768,14.564,15.5092,4.9607,1170966.95,15.217,4.077,12.25,13.775,15.3,22.144,1.162,0.973,0.649,0.07,0.578,0.822,0.94,0.906,0.943,65.427,133.102,1.077,1.079,1.076,1.064,1.086,1.053,3043.01,-639.229
178,600409.SH,20210907,13.7056,14.9113,13.7056,14.7762,7.4336,964116.87,14.464,7.811,12.194,13.623,15.052,20.981,-0.321,0.794,0.594,0.033,0.561,0.755,0.892,0.847,0.853,60.293,68.806,0.841,0.907,0.828,1.01,1.046,1.009,3103.77,380.52
179,600409.SH,20210906,14.4483,14.5158,13.4066,13.7538,-5.3121,760101.64,13.892,-4.807,12.093,13.535,14.976,21.303,-0.957,0.624,0.592,0.039,0.552,0.745,0.902,0.85,0.838,55.67,23.284,0.624,0.71,0.634,0.967,1.015,0.968,3028.54,1122.654
