,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5
217,600409.SH,20210714,11.3812,12.1335,11.2461,11.8152,3.5504,1124092.83,11.732,3.813,9.023,10.239,11.455,23.759,5.671,1.114,0.242,0.225,0.017,1.441,2.164,1.989,1.763,75.062,205.63,1.054,1.439,1.209,1.124,1.171,1.112,2445.02,1515.15
218,600409.SH,20210713,10.6578,11.5355,10.5324,11.4101,7.0587,1106469.77,11.159,7.059,9.17,10.082,10.994,18.088,3.822,1.091,0.129,0.168,-0.039,1.068,1.666,1.618,1.463,69.867,196.871,1.125,1.532,1.225,1.101,1.125,1.082,2376.54,1531.36
219,600409.SH,20210712,10.4745,10.8893,10.4649,10.6578,3.4647,1049800.5,10.671,1.75,9.257,9.969,10.68,14.266,1.957,0.994,0.042,0.123,-0.081,0.816,1.286,1.325,1.209,63.947,160.819,1.202,1.514,0.99,1.08,1.083,1.047,2322.53,1860.312
220,600409.SH,20210709,10.1466,10.4167,10.0501,10.3009,2.5935,782033.68,10.256,1.521,9.286,9.895,10.504,12.309,0.148,0.797,-0.021,0.091,-0.112,0.683,1.06,1.167,1.087,57.388,104.756,0.965,1.199,0.769,1.051,1.047,1.029,2206.79,1727.542
221,600409.SH,20210708,10.1852,10.3106,9.9537,10.0405,-1.3267,781387.7,10.102,-1.421,9.257,9.857,10.456,12.161,-0.028,0.704,-0.058,0.076,-0.135,0.656,0.989,1.177,1.12,54.549,84.081,1.06,1.257,0.851,1.041,1.036,1.039,2095.87,2198.932
222,600409.SH,20210707,10.3781,10.4359,10.0309,10.1755,-2.9444,999978.6,10.214,-1.952,9.232,9.831,10.43,12.189,0.352,0.82,-0.09,0.064,-0.154,0.642,0.932,1.206,1.173,57.11,128.475,1.549,1.755,1.299,1.059,1.054,1.069,2034.14,1571.43
223,600409.SH,20210706,9.6451,10.4842,9.6451,10.4842,10.0207,1676754.13,10.205,8.7,9.211,9.79,10.37,11.837,0.415,0.857,-0.14,0.03,-0.17,0.612,0.842,1.195,1.18,56.951,162.14,3.789,3.702,3.845,1.063,1.06,1.079,2021.6,1076.978
224,600409.SH,20210705,9.0663,9.5968,8.9217,9.5293,5.1068,610889.16,9.349,5.107,9.19,9.747,10.304,11.422,0.539,0.143,-0.2,-0.023,-0.177,0.581,0.755,1.178,1.171,38.035,-106.977,1.32,1.416,1.54,0.963,0.968,0.977,2065.97,1565.623
225,600409.SH,20210702,9.375,9.375,8.9795,9.0663,-3.59,387310.46,9.14,-3.293,9.256,9.789,10.321,10.883,1.438,-0.109,-0.188,-0.017,-0.171,0.546,0.671,1.144,1.135,31.218,-208.857,0.854,0.915,0.935,0.933,0.943,0.934,2001.35,1370.437
226,600409.SH,20210701,9.7897,9.7994,9.3653,9.4039,-3.5606,403576.26,9.523,-3.941,9.392,9.857,10.323,9.445,0.1,0.141,-0.148,0.019,-0.167,0.466,0.543,0.988,0.979,38.347,-87.606,0.878,0.947,0.813,0.971,0.98,0.963,1859.56,866.161
227,600409.SH,20210630,9.7608,9.9923,9.6836,9.7511,0.5963,342635.99,9.809,-0.099,9.43,9.892,10.354,9.345,-0.087,0.41,-0.135,0.037,-0.172,0.453,0.504,0.947,0.962,45.525,11.584,0.722,0.791,0.694,1.005,1.006,0.995,1847.02,320.003
228,600409.SH,20210629,9.9151,10.1273,9.6451,9.6933,-2.1422,452890.22,9.822,-2.237,9.434,9.901,10.368,9.432,-0.248,0.415,-0.144,0.037,-0.181,0.45,0.481,0.904,0.969,45.882,4.399,0.976,1.008,0.924,1.011,1.005,1.002,1915.5,452.134
229,600409.SH,20210628,10.0598,10.1659,9.8669,9.9055,-1.7224,458238.39,9.979,-1.534,9.43,9.909,10.389,9.68,-0.05,0.573,-0.155,0.035,-0.19,0.453,0.469,0.857,1.003,50.336,44.822,1.018,1.023,0.947,1.033,1.019,1.029,1944.44,423.653
230,600409.SH,20210625,9.7801,10.1466,9.6451,10.0791,3.9801,731830.71,9.957,3.057,9.42,9.902,10.384,9.73,-0.156,0.557,-0.183,0.016,-0.199,0.448,0.451,0.777,1.024,49.692,35.735,1.937,1.664,1.835,1.038,1.015,1.038,1959.88,-599.705
231,600409.SH,20210624,9.6161,9.8476,9.539,9.6933,0.3998,330711.72,9.693,0.803,9.407,9.896,10.385,9.886,0.079,0.293,-0.214,-0.011,-0.203,0.448,0.441,0.704,1.039,41.487,-41.933,0.836,0.728,0.807,1.008,0.985,1.012,1998.46,-804.665
232,600409.SH,20210623,9.5775,9.7415,9.3171,9.6547,1.5216,440707.37,9.571,0.806,9.431,9.917,10.404,9.807,0.086,0.144,-0.224,-0.024,-0.2,0.438,0.423,0.622,0.98,37.097,-83.995,1.124,0.975,1.179,0.986,0.969,0.999,1977.24,-395.102
233,600409.SH,20210622,9.4425,9.8572,9.3268,9.51,1.0241,433024.19,9.565,0.715,9.47,9.954,10.438,9.721,0.115,0.098,-0.22,-0.026,-0.194,0.432,0.408,0.546,0.884,36.867,-103.106,1.019,0.974,1.155,0.977,0.964,0.993,1934.8,79.591
234,600409.SH,20210621,9.7415,9.7897,9.3846,9.4136,-3.7474,390906.82,9.529,-3.366,9.515,9.995,10.475,9.606,0.448,0.015,-0.212,-0.025,-0.187,0.426,0.394,0.48,0.764,35.673,-142.779,0.902,0.871,1.022,0.963,0.955,0.974,1916.47,161.014
235,600409.SH,20210618,9.6451,9.8958,9.2207,9.7801,1.3997,374691.7,9.632,1.4,9.584,10.044,10.504,9.158,0.345,0.052,-0.195,-0.014,-0.181,0.406,0.368,0.412,0.614,37.582,-160.031,0.784,0.819,0.841,0.965,0.96,0.974,1892.36,48.112
236,600409.SH,20210617,9.607,9.6918,9.4281,9.6447,0.0976,296984.31,9.588,0.392,9.643,10.087,10.532,8.812,-1.157,-0.061,-0.18,-0.002,-0.178,0.391,0.347,0.359,0.493,36.235,-181.169,0.583,0.582,0.616,0.954,0.951,0.955,1919.37,341.462
237,600409.SH,20210616,10.078,10.1533,9.5788,9.6353,-4.9257,437215.39,9.789,-4.393,9.634,10.14,10.645,9.969,-2.815,0.153,-0.155,0.023,-0.177,0.444,0.385,0.374,0.474,39.862,-114.864,0.863,0.871,0.819,0.97,0.972,0.967,1942.48,74.981
238,600409.SH,20210615,10.1251,10.3229,9.9461,10.1345,-0.8298,420371.37,10.134,0.093,9.526,10.177,10.827,12.784,-2.841,0.468,-0.14,0.043,-0.183,0.575,0.487,0.45,0.527,47.388,53.829,0.849,0.842,0.764,1.006,1.01,1.003,1928.0,-444.574
239,600409.SH,20210611,10.1627,10.2475,9.7295,10.2193,0.463,628314.88,10.065,0.557,9.386,10.181,10.977,15.625,-3.48,0.427,-0.155,0.038,-0.194,0.711,0.589,0.524,0.573,45.489,31.615,1.357,1.314,1.262,0.996,1.007,0.998,1976.98,-515.896
240,600409.SH,20210610,10.3134,10.3229,10.0686,10.1722,-0.1845,443020.74,10.188,-1.369,9.22,10.193,11.167,19.104,-4.16,0.497,-0.165,0.039,-0.203,0.885,0.717,0.621,0.642,48.346,78.845,0.948,0.916,0.932,1.008,1.023,1.014,2035.38,-531.687
241,600409.SH,20210609,9.9838,10.3134,9.7954,10.191,2.1716,643072.54,10.1,2.075,9.008,10.194,11.38,23.264,-3.263,0.46,-0.187,0.026,-0.213,1.104,0.878,0.746,0.738,46.101,61.206,1.267,1.383,1.52,1.0,1.019,1.002,2039.15,-331.996
242,600409.SH,20210608,9.899,10.2946,9.8613,9.9744,0.1898,486462.78,10.043,0.762,8.85,10.204,11.557,26.527,-2.224,0.441,-0.204,0.016,-0.219,1.296,1.015,0.853,0.812,44.676,53.684,1.006,1.062,1.162,1.001,1.017,0.992,2036.32,-264.427
243,600409.SH,20210607,10.1157,10.2663,9.7954,9.9555,-0.4709,418270.22,10.006,-1.584,8.751,10.221,11.69,28.752,-3.554,0.427,-0.216,0.007,-0.223,1.442,1.13,0.938,0.865,43.759,49.348,0.873,0.911,0.781,1.001,1.016,0.987,2016.54,-227.5
244,600409.SH,20210604,10.1722,10.2004,9.9367,10.0026,-2.6587,352561.37,10.047,-1.667,8.589,10.243,11.898,32.306,-1.366,0.441,-0.225,-0.0,-0.225,1.664,1.323,1.091,0.978,44.496,38.664,0.726,0.699,0.662,1.011,1.022,1.0,1992.99,53.406
245,600409.SH,20210603,10.1157,10.3888,10.0026,10.2758,1.5827,435462.9,10.222,1.583,8.536,10.264,11.992,33.672,-0.301,0.488,-0.238,-0.013,-0.225,1.779,1.449,1.189,1.043,47.687,50.959,0.875,0.861,0.835,1.037,1.037,1.03,1995.81,-122.606
246,600409.SH,20210602,10.2287,10.4547,10.078,10.1157,-2.3628,468291.31,10.216,-1.105,8.524,10.268,12.013,33.973,0.166,0.485,-0.268,-0.047,-0.222,1.834,1.541,1.258,1.086,47.564,29.65,0.951,0.942,0.931,1.048,1.03,1.043,2027.84,-20.032
247,600409.SH,20210601,9.5317,10.4359,9.4469,10.3605,8.0547,884658.05,10.081,8.695,8.537,10.274,12.011,33.808,0.208,0.445,-0.302,-0.092,-0.21,1.864,1.628,1.313,1.129,44.975,-4.949,2.142,1.903,2.168,1.043,1.007,1.038,2039.15,6.404
248,600409.SH,20210531,9.7295,9.8048,9.5505,9.5882,-1.4523,340783.6,9.648,-1.452,8.565,10.294,12.024,33.6,1.448,0.313,-0.328,-0.141,-0.187,1.89,1.725,1.367,1.188,35.553,-59.297,0.796,0.72,0.788,0.997,0.949,0.995,2047.62,668.388
249,600409.SH,20210528,9.7201,9.899,9.673,9.7295,0.4864,392399.88,9.767,0.097,8.696,10.362,12.028,32.152,1.213,0.321,-0.312,-0.16,-0.152,1.842,1.76,1.36,1.216,37.171,-56.497,0.778,0.828,0.9,1.007,0.945,1.012,1994.87,446.99
250,600409.SH,20210527,9.7012,9.786,9.5788,9.6824,-1.1536,393483.17,9.682,-0.194,8.812,10.425,12.037,30.939,1.669,0.27,-0.299,-0.187,-0.111,1.802,1.805,1.359,1.263,35.238,-73.427,0.765,0.81,0.883,0.984,0.92,1.003,1931.77,615.028
251,600409.SH,20210526,9.673,9.8237,9.5882,9.7954,1.3639,505880.3,9.736,1.265,8.966,10.503,12.04,29.27,1.378,0.25,-0.269,-0.204,-0.065,1.73,1.818,1.334,1.28,35.88,-80.979,1.028,0.989,0.951,0.97,0.91,1.005,1941.19,762.378
252,600409.SH,20210525,9.5505,9.7106,9.3998,9.6636,1.3838,437318.07,9.591,1.184,9.108,10.584,12.06,27.892,2.029,0.164,-0.233,-0.219,-0.014,1.667,1.841,1.32,1.293,32.825,-109.956,0.862,0.806,0.817,0.933,0.878,0.966,1947.78,730.647
253,600409.SH,20210524,9.7201,9.8048,9.4469,9.5317,-1.7472,407934.04,9.594,-1.938,9.306,10.688,12.07,25.864,2.33,0.104,-0.168,-0.209,0.041,1.557,1.783,1.289,1.249,32.856,-139.571,0.797,0.677,0.774,0.907,0.863,0.935,1945.9,959.544
254,600409.SH,20210521,9.8425,9.8613,9.5505,9.7012,-0.4832,431917.21,9.704,-1.436,9.532,10.803,12.075,23.534,2.381,0.068,-0.084,-0.177,0.093,1.422,1.664,1.244,1.152,33.904,-162.204,0.853,0.681,0.784,0.89,0.862,0.915,1919.53,-103.801
255,600409.SH,20210520,10.191,10.191,9.673,9.7483,-7.0085,851606.13,9.871,-4.344,9.764,10.919,12.074,21.153,1.93,0.046,0.014,-0.123,0.138,1.278,1.509,1.187,1.034,35.487,-193.422,1.888,1.305,1.905,0.881,0.871,0.9,1923.29,-102.134
256,600409.SH,20210519,10.7561,10.7655,10.4453,10.483,-3.0483,449892.0,10.565,-2.539,9.969,11.029,12.089,19.223,-0.309,0.281,0.122,-0.047,0.169,1.157,1.36,1.139,0.932,43.258,-113.496,0.885,0.653,1.036,0.928,0.928,0.939,1944.95,-546.207
257,600409.SH,20210518,11.1046,11.1423,10.7938,10.8126,-2.2978,374237.1,10.916,-2.63,9.996,11.078,12.16,19.532,-0.623,0.425,0.187,0.007,0.18,1.17,1.371,1.243,0.952,48.195,-54.146,0.651,0.54,0.795,0.942,0.962,0.954,2023.13,-780.731
258,600409.SH,20210517,11.2647,11.3024,10.8126,11.0669,-1.7559,528354.93,11.061,-1.756,9.977,11.095,12.213,20.155,-0.541,0.485,0.232,0.053,0.178,1.198,1.404,1.391,1.032,50.374,-27.1,0.794,0.774,0.985,0.946,0.979,0.955,2129.56,-1170.223
259,600409.SH,20210514,11.5567,11.7074,11.0575,11.2647,-1.645,435659.52,11.343,-2.527,9.95,11.099,12.247,20.696,-1.099,0.606,0.27,0.105,0.165,1.215,1.435,1.565,1.157,54.855,22.833,0.603,0.619,0.701,0.972,1.009,0.963,2187.95,-1464.238
260,600409.SH,20210513,11.6321,12.1407,11.4154,11.4531,-3.4919,399092.39,11.67,-1.539,9.866,11.073,12.28,21.795,0.476,0.747,0.287,0.149,0.139,1.267,1.51,1.833,1.383,60.606,71.695,0.48,0.576,0.505,1.013,1.05,0.989,2233.16,-1523.081
261,600409.SH,20210512,11.519,11.9523,11.2741,11.8675,0.6386,518839.05,11.698,3.025,9.837,11.01,12.184,21.32,1.08,0.793,0.271,0.17,0.102,1.221,1.475,2.004,1.558,61.117,87.85,0.584,0.763,0.607,1.025,1.064,1.002,2271.78,-1533.404
262,600409.SH,20210511,11.9805,11.99,11.0764,11.7922,-3.3204,792949.76,11.62,-1.572,9.831,10.938,12.045,20.24,1.359,0.808,0.244,0.185,0.059,1.132,1.393,2.129,1.767,60.257,96.223,0.962,1.257,0.863,1.033,1.067,1.015,2332.06,-796.457
263,600409.SH,20210510,12.1501,12.4326,11.8298,12.1972,2.049,775465.73,12.153,0.388,9.84,10.866,11.892,18.88,4.634,1.127,0.214,0.201,0.013,1.02,1.286,2.119,2.008,69.977,205.603,1.015,1.304,0.825,1.108,1.131,1.087,2365.97,-699.727
264,600409.SH,20210507,11.293,12.0276,11.1329,11.9523,6.0156,1071898.98,11.704,5.838,9.966,10.731,11.495,14.246,3.408,1.137,0.118,0.155,-0.037,0.732,0.948,1.57,1.745,65.678,227.54,1.535,2.015,1.384,1.084,1.099,1.073,2398.94,-398.008
265,600409.SH,20210506,10.9257,11.5567,10.7655,11.2741,4.9994,779851.4,11.199,3.189,10.052,10.628,11.204,10.839,1.787,0.995,0.039,0.115,-0.076,0.526,0.698,1.109,1.436,59.677,193.628,1.272,1.588,1.141,1.051,1.06,1.044,2414.95,361.398
266,600409.SH,20210430,10.6431,11.1517,10.3323,10.7373,-3.3894,1049944.96,10.74,0.885,10.09,10.568,11.047,9.051,0.2,0.68,-0.01,0.095,-0.105,0.415,0.562,0.829,1.241,52.764,81.618,2.095,2.44,1.78,1.014,1.02,1.002,2322.64,932.946
267,600409.SH,20210429,10.7373,11.3778,10.7373,11.114,3.6908,857183.91,11.076,3.508,10.083,10.55,11.017,8.851,2.01,1.064,-0.026,0.102,-0.128,0.385,0.529,0.731,1.243,59.687,213.99,2.14,2.118,1.936,1.057,1.059,1.052,2201.14,1175.339
268,600409.SH,20210428,10.4641,10.7184,10.3605,10.7184,2.7996,411641.54,10.599,2.43,10.136,10.495,10.854,6.842,0.241,0.645,-0.081,0.073,-0.154,0.282,0.389,0.506,0.852,51.309,86.225,1.042,0.973,0.947,1.011,1.019,1.013,2185.13,1223.628
269,600409.SH,20210427,10.5301,10.7561,10.2758,10.4265,-1.4248,414547.71,10.486,-0.984,10.138,10.484,10.83,6.6,-0.212,0.503,-0.101,0.071,-0.172,0.259,0.356,0.442,0.687,48.993,50.355,1.064,0.919,1.051,0.999,1.01,1.003,2183.24,1623.822
270,600409.SH,20210426,10.4076,11.114,10.4076,10.5772,1.9057,676385.64,10.7,1.63,10.126,10.484,10.841,6.812,-0.324,0.803,-0.113,0.077,-0.19,0.256,0.349,0.418,0.589,53.426,150.121,2.036,1.488,2.116,1.025,1.034,1.026,2114.49,1486.672
271,600409.SH,20210423,10.2004,10.4547,10.1251,10.3794,1.5666,268473.3,10.32,1.755,10.088,10.461,10.834,7.136,-0.392,0.311,-0.149,0.06,-0.209,0.257,0.347,0.405,0.511,45.296,-23.577,0.765,0.554,0.771,0.988,0.996,0.983,2100.37,1065.817
272,600409.SH,20210422,10.4359,10.6619,10.191,10.2193,-1.9872,379451.44,10.357,-2.076,10.081,10.476,10.87,7.528,-0.264,0.35,-0.154,0.07,-0.224,0.263,0.346,0.397,0.46,46.031,7.401,0.989,0.754,1.128,0.992,1.0,0.987,2095.66,922.419
273,600409.SH,20210421,10.4359,10.5677,10.3134,10.4265,-0.9838,252705.85,10.436,-0.09,10.079,10.488,10.897,7.792,-4.525,0.436,-0.162,0.08,-0.242,0.264,0.335,0.385,0.414,47.515,53.08,0.569,0.494,0.686,1.008,1.01,0.997,2059.87,626.358
274,600409.SH,20210420,10.7467,10.8221,10.5018,10.5301,-1.3241,378018.22,10.618,-2.016,9.847,10.494,11.14,12.317,-3.711,0.596,-0.178,0.084,-0.262,0.409,0.498,0.584,0.602,51.039,153.841,0.754,0.745,0.905,1.032,1.031,1.022,2064.58,266.518
275,600409.SH,20210419,10.2663,10.7844,10.2381,10.6714,2.8133,381968.82,10.565,3.946,9.641,10.48,11.32,16.028,-2.524,0.55,-0.214,0.068,-0.283,0.524,0.613,0.743,0.748,50.037,156.751,0.686,0.751,0.802,1.031,1.029,1.032,2095.66,-178.054
276,600409.SH,20210416,10.3605,10.5207,10.1345,10.3794,0.9159,332471.32,10.345,0.182,9.5,10.472,11.443,18.551,-3.024,0.435,-0.252,0.048,-0.3,0.598,0.675,0.851,0.845,45.82,55.934,0.553,0.66,0.58,1.007,1.009,1.014,2120.15,314.923
277,600409.SH,20210415,10.6337,10.6337,10.078,10.2852,-2.4128,381130.97,10.332,-3.277,9.354,10.485,11.616,21.575,-0.373,0.433,-0.274,0.038,-0.312,0.688,0.753,0.987,0.98,45.578,57.687,0.6,0.73,0.58,1.005,1.008,1.013,2105.08,170.207
278,600409.SH,20210414,9.8802,10.6148,9.8425,10.5395,6.6729,574596.45,10.332,6.673,9.349,10.501,11.653,21.949,-0.44,0.427,-0.297,0.024,-0.321,0.691,0.737,0.995,0.996,45.577,67.769,0.965,1.087,0.867,1.008,1.011,1.008,2066.46,-333.008
279,600409.SH,20210413,10.0874,10.1345,9.7766,9.8802,-1.5946,615808.59,9.93,-2.054,9.341,10.519,11.696,22.389,0.171,0.25,-0.322,0.006,-0.327,0.697,0.726,0.995,1.022,38.022,-117.635,1.122,1.16,0.94,0.964,0.972,0.959,2082.47,541.839
280,600409.SH,20210412,10.4265,10.6808,9.9273,10.0403,-2.4702,721325.73,10.216,-3.704,9.405,10.581,11.756,22.218,0.326,0.345,-0.308,0.021,-0.329,0.683,0.698,0.97,1.021,41.834,-2.686,1.457,1.307,1.29,0.992,1.002,0.988,2041.97,345.442
281,600409.SH,20210409,10.4453,10.6431,10.0686,10.2946,-2.3236,714989.39,10.335,-1.443,9.457,10.619,11.781,21.892,0.179,0.378,-0.315,0.02,-0.334,0.664,0.669,0.928,1.012,43.515,5.715,1.692,1.269,1.541,1.006,1.012,1.002,1992.05,176.59
282,600409.SH,20210408,10.4547,10.6902,10.3134,10.5395,0.1787,598939.36,10.514,0.811,9.493,10.649,11.805,21.713,-0.216,0.442,-0.331,0.008,-0.339,0.651,0.649,0.882,1.0,46.079,18.85,1.429,1.119,1.446,1.028,1.021,1.027,2033.49,-362.278
283,600409.SH,20210407,10.0968,10.5489,9.9838,10.5207,4.2955,585471.99,10.351,4.198,9.494,10.663,11.832,21.929,-0.114,0.367,-0.365,-0.024,-0.341,0.652,0.646,0.838,0.993,43.264,-18.931,1.363,1.156,1.733,1.016,0.995,1.015,2083.41,-299.408
284,600409.SH,20210406,10.2098,10.3511,9.9838,10.0874,-1.1988,337579.01,10.141,-1.199,9.517,10.696,11.875,22.043,0.42,0.265,-0.387,-0.052,-0.335,0.653,0.64,0.783,0.96,39.507,-50.604,0.703,0.658,0.848,1.0,0.963,0.992,2106.02,448.159
285,600409.SH,20210402,10.3794,10.4924,10.0968,10.2098,-1.0956,333513.92,10.266,-1.634,9.592,10.754,11.917,21.624,0.228,0.29,-0.388,-0.066,-0.322,0.638,0.62,0.714,0.908,41.003,-43.152,0.572,0.627,0.7,1.018,0.963,1.009,2060.81,-339.02
286,600409.SH,20210401,10.078,10.3417,9.9273,10.3229,1.2009,400122.75,10.197,2.43,9.65,10.806,11.962,21.396,0.28,0.237,-0.396,-0.09,-0.306,0.632,0.605,0.656,0.851,39.847,-56.937,0.609,0.772,0.745,1.005,0.95,1.011,2029.72,-297.015
287,600409.SH,20210331,10.3605,10.417,9.9838,10.2004,-0.7338,280233.78,10.2,-1.545,9.722,10.87,12.017,21.116,-0.996,0.208,-0.393,-0.11,-0.283,0.624,0.588,0.605,0.779,39.879,-66.016,0.425,0.53,0.398,0.986,0.942,1.017,2053.27,316.392
288,600409.SH,20210330,10.1439,10.4641,9.9555,10.2758,1.2065,577977.81,10.232,1.3,9.731,10.94,12.15,22.112,-2.11,0.207,-0.385,-0.129,-0.256,0.656,0.606,0.598,0.739,40.185,-73.711,0.952,1.125,0.749,0.968,0.937,1.012,2052.33,306.138
289,600409.SH,20210329,10.1251,10.2758,9.8237,10.1533,2.4716,648486.93,10.084,0.279,9.681,11.015,12.349,24.222,-3.034,0.151,-0.371,-0.148,-0.223,0.722,0.656,0.623,0.73,38.13,-97.003,1.144,1.322,0.951,0.933,0.918,0.966,2047.62,355.055
290,600409.SH,20210326,9.8143,10.0026,9.5976,9.9084,1.0566,642154.6,9.836,0.959,9.598,11.113,12.627,27.256,0.526,0.079,-0.334,-0.147,-0.186,0.819,0.731,0.676,0.753,34.644,-132.178,1.165,1.372,1.092,0.884,0.891,0.904,2042.91,-36.93
291,600409.SH,20210325,10.2475,10.4641,9.6824,9.8048,-3.8783,949083.1,9.984,-4.32,9.744,11.247,12.75,26.73,-2.733,0.08,-0.256,-0.106,-0.15,0.81,0.709,0.643,0.676,35.75,-124.097,2.19,2.278,2.098,0.884,0.903,0.887,2006.17,178.836
292,600409.SH,20210324,11.1329,11.1705,10.2004,10.2004,-9.9756,845611.05,10.524,-8.376,9.704,11.38,13.057,29.463,-3.469,0.245,-0.168,-0.045,-0.123,0.904,0.777,0.698,0.696,40.07,-73.641,2.362,2.171,2.238,0.923,0.954,0.91,1971.32,-89.772
293,600409.SH,20210323,11.6415,11.7733,11.1705,11.3307,-2.5911,289579.33,11.425,-2.67,9.582,11.47,13.359,32.931,-5.967,0.488,-0.108,0.004,-0.112,1.025,0.871,0.78,0.741,49.235,70.358,0.763,0.706,0.791,1.005,1.04,0.997,2000.52,-1170.384
294,600409.SH,20210322,11.4908,11.7451,11.3495,11.6321,2.49,267619.44,11.576,1.23,9.243,11.475,13.707,38.898,-4.923,0.523,-0.122,-0.009,-0.113,1.233,1.046,0.936,0.857,51.037,103.773,0.669,0.63,0.673,1.03,1.058,1.02,2153.11,-1282.83
295,600409.SH,20210319,11.4908,11.9617,11.18,11.3495,-5.342,406908.12,11.497,-1.23,8.953,11.464,13.976,43.822,-1.588,0.506,-0.153,-0.042,-0.11,1.418,1.207,1.084,0.968,50.16,81.474,1.022,0.909,1.015,1.039,1.054,1.019,2296.28,-1289.891
296,600409.SH,20210318,11.1046,12.1595,11.1046,11.99,7.2451,547582.48,11.751,7.973,8.859,11.461,14.063,45.41,-1.456,0.556,-0.182,-0.082,-0.1,1.496,1.293,1.159,1.021,52.999,97.137,1.477,1.238,1.514,1.086,1.076,1.064,2298.16,-1440.711
297,600409.SH,20210317,11.0764,11.2459,10.6525,11.18,0.085,242503.79,11.026,0.935,8.752,11.431,14.109,46.866,0.798,0.425,-0.243,-0.164,-0.079,1.566,1.384,1.237,1.096,44.77,-18.729,0.575,0.523,0.607,1.032,0.999,1.011,2333.95,-739.264
298,600409.SH,20210316,11.293,11.3495,10.8409,11.1705,-1.5772,394000.48,11.12,-1.085,8.83,11.473,14.116,46.068,0.658,0.433,-0.243,-0.205,-0.038,1.556,1.415,1.254,1.136,45.73,-16.854,0.891,0.826,0.992,1.044,0.993,1.04,2317.0,-213.724
299,600409.SH,20210315,10.8503,11.585,10.775,11.3495,4.2386,419875.07,11.236,4.601,8.897,11.51,14.124,45.41,0.676,0.448,-0.25,-0.263,0.013,1.548,1.452,1.272,1.187,46.874,-17.883,0.945,0.84,0.978,1.058,0.994,1.077,2235.05,515.409
300,600409.SH,20210312,10.775,11.0858,10.4453,10.888,2.482,390182.71,10.806,1.049,8.958,11.539,14.12,44.734,1.498,0.358,-0.266,-0.345,0.079,1.535,1.488,1.284,1.242,41.906,-55.0,0.798,0.792,0.847,1.012,0.936,1.032,2252.0,1242.465
301,600409.SH,20210311,10.1816,10.7561,10.0591,10.6243,4.348,393692.87,10.48,4.348,9.105,11.616,14.127,43.236,2.727,0.274,-0.239,-0.404,0.165,1.49,1.499,1.269,1.267,37.832,-83.352,0.781,0.798,0.837,0.96,0.885,0.988,2223.75,1224.369
302,600409.SH,20210310,10.2758,10.5489,9.9932,10.1816,0.558,384728.17,10.241,-0.917,9.359,11.736,14.113,40.51,3.841,0.186,-0.168,-0.434,0.266,1.397,1.461,1.209,1.235,34.746,-109.325,0.741,0.754,0.714,0.909,0.839,0.944,2151.23,1782.141
303,600409.SH,20210309,10.4265,10.7279,9.7389,10.1251,-4.7829,548220.75,10.197,-2.891,9.713,11.893,14.074,36.668,4.012,0.111,-0.051,-0.425,0.374,1.26,1.365,1.112,1.137,34.191,-135.135,1.059,1.051,1.048,0.871,0.81,0.906,2080.59,893.142
304,600409.SH,20210308,11.4625,11.6603,10.5489,10.6337,-3.9968,515637.5,10.948,-7.231,10.101,12.072,14.043,32.656,0.906,0.215,0.105,-0.376,0.481,1.113,1.24,1.01,1.005,39.488,-117.9,0.946,0.979,1.005,0.916,0.855,0.943,2030.67,510.539
305,600409.SH,20210305,11.0104,11.3307,10.6902,11.0764,-0.5914,432901.13,11.032,0.599,10.255,12.19,14.125,31.749,0.391,0.201,0.224,-0.35,0.575,1.072,1.225,1.001,0.961,40.137,-135.584,0.827,0.788,0.802,0.893,0.847,0.914,2075.88,-104.04
306,600409.SH,20210304,11.5379,11.5944,10.8503,11.1423,-6.1108,657118.55,11.196,-3.429,10.381,12.312,14.242,31.358,-0.485,0.211,0.366,-0.297,0.662,1.05,1.215,1.019,0.932,41.344,-153.708,1.364,1.256,1.206,0.877,0.852,0.905,2171.01,-504.177
307,600409.SH,20210303,12.0276,12.1501,11.5661,11.8675,-2.3259,486148.43,11.861,-1.331,10.45,12.429,14.408,31.844,-0.621,0.357,0.524,-0.212,0.736,1.059,1.23,1.071,0.935,46.621,-108.226,0.982,0.952,0.973,0.901,0.898,0.929,2221.87,-951.919
308,600409.SH,20210302,12.9601,12.9601,11.8864,12.1501,-5.3554,475769.36,12.332,-6.25,10.462,12.489,14.516,32.465,-1.048,0.461,0.651,-0.139,0.789,1.075,1.245,1.141,0.961,50.861,-62.071,0.9,0.943,0.987,0.913,0.936,0.941,2300.98,-1519.833
309,600409.SH,20210301,12.508,13.3839,12.4421,12.8376,4.7651,539719.22,12.888,2.635,10.41,12.505,14.601,33.513,-0.423,0.591,0.755,-0.069,0.824,1.108,1.278,1.236,1.032,56.453,-9.849,1.011,1.063,1.104,0.947,0.986,0.958,2401.76,-2053.157
