ts_code,trade_date,open,high,low,close,pct_chg,vol,cci,cci_sum,max_falling_rating,SLOP,ANGLE,stoch,ema,ema_upper,ema_lower,envelope,envelope_shift,quantityrelativeratio,cci_status,envelope_days
003021.SZ,20220525,31.24,31.43,30.61,31.38,-0.1591,11392.99,-55.2,942.1,0.2,0.0,2.6,0.8,31.7,34.8,28.5,0,0.0,0.8,wait,12
605398.SH,20220525,30.2,31.13,30.11,31.1,2.9801,6009.0,-127.8,605.7,0.2,-0.0,-2.7,0.4,31.9,35.1,28.7,0,0.0,0.9,wait,13
605337.SH,20220525,25.17,25.17,23.81,24.51,-2.6222,60633.82,75.9,936.4,0.2,0.4,23.0,0.8,23.3,25.7,21.0,0,0.0,1.0,wait,21
002028.SZ,20220525,32.24,34.03,31.38,33.72,3.2772,122650.86,66.6,1065.3,0.3,0.3,14.2,0.9,31.9,35.1,28.7,0,0.0,1.1,wait,17
600315.SH,20220525,31.18,31.92,31.16,31.92,1.6237,33118.6,-81.0,584.2,0.1,-0.1,-2.9,0.8,32.1,35.3,28.9,0,0.0,0.7,wait,17
002415.SZ,20220525,31.2669,31.6752,30.9266,31.51,0.7775,565206.82,-84.8,-691.6,0.2,0.0,2.3,0.0,34.1,37.5,30.7,0,0.0,0.5,wait,5
600111.SH,20220525,34.1,34.42,33.35,34.18,0.1465,640630.69,21.8,1054.3,0.2,0.2,11.1,0.8,33.8,37.1,30.4,0,0.0,0.6,wait,15
002407.SZ,20220525,39.9,40.1,38.07,39.5,0.5089,444397.42,90.6,1427.1,0.3,1.0,44.8,1.0,35.5,39.1,32.0,1,1.0,0.7,wait,4
000513.SZ,20220525,31.67,31.79,31.3,31.74,1.0828,43616.43,-83.0,-431.0,0.1,-0.2,-12.0,0.1,33.0,36.3,29.7,0,0.0,0.6,wait,26
603380.SH,20220525,33.0,33.79,32.74,33.25,-0.1502,3679.0,-23.4,795.4,0.2,0.0,0.6,0.9,32.3,35.5,29.1,0,0.0,0.8,wait,17
002968.SZ,20220525,32.33,33.1,31.68,33.07,2.7019,6654.5,-73.5,71.3,0.1,-0.1,-8.5,0.5,33.1,36.4,29.8,0,0.0,0.8,wait,56
600406.SH,20220525,32.4,33.93,31.91,33.68,3.6946,240490.2,-13.6,795.3,0.3,0.0,0.2,0.9,32.3,35.5,29.0,0,0.0,1.0,wait,14
000651.SZ,20220525,31.77,31.83,31.46,31.77,-0.0629,268487.98,-173.6,-232.9,0.1,-0.2,-12.7,0.4,32.5,35.8,29.3,0,0.0,0.6,wait,56
603738.SH,20220525,33.13,33.91,32.93,33.66,1.5691,25962.0,-13.2,995.0,0.2,0.1,3.5,0.8,33.1,36.4,29.8,0,0.0,0.6,wait,15
002142.SZ,20220525,33.2,33.33,32.8,33.22,0.7277,182501.5,-75.7,-1003.8,0.1,-0.1,-6.4,0.2,34.4,37.8,31.0,0,0.0,0.5,wait,56
603039.SH,20220525,35.06,35.65,34.04,34.32,-3.0235,28026.11,8.0,-259.0,0.3,0.4,21.0,0.2,38.1,41.9,34.3,0,0.0,0.6,wait,5
601877.SH,20220525,34.22,35.05,34.0,34.95,1.6579,98415.93,-47.8,869.4,0.2,0.0,2.5,0.8,34.7,38.2,31.2,0,0.0,0.5,wait,16
002241.SZ,20220525,35.8022,36.3393,35.4442,36.21,0.8029,282732.61,10.1,941.1,0.3,0.2,9.7,0.9,35.1,38.6,31.6,0,0.0,0.5,wait,17
600141.SH,20220525,36.25,36.57,35.4,36.4,0.831,259449.61,59.9,1103.8,0.2,0.3,18.0,0.8,34.9,38.4,31.4,0,0.0,0.7,wait,1
603197.SH,20220525,35.15,36.38,34.08,35.78,1.3311,51136.0,-15.9,1036.6,0.2,0.0,2.0,0.8,35.3,38.8,31.8,0,0.0,0.6,wait,11
000049.SZ,20220525,35.8,36.25,35.01,35.79,-0.2508,60306.05,23.1,1184.4,0.2,0.2,11.0,0.8,34.5,38.0,31.1,0,0.0,0.5,wait,1
002353.SZ,20220525,33.68,35.75,33.64,35.52,5.4632,97353.25,86.7,542.2,0.2,-0.1,-5.6,1.0,34.4,37.8,31.0,0,0.0,1.1,wait,14
603883.SH,20220525,36.32,39.8,35.88,39.8,10.0055,69272.21,297.0,862.4,0.3,0.2,13.6,1.0,35.2,38.8,31.7,1,0.0,3.0,wait,0
600378.SH,20220525,35.08,36.68,34.3,36.45,3.9943,24807.76,-36.1,623.8,0.2,-0.0,-0.3,1.0,35.3,38.9,31.8,0,0.0,1.3,wait,15
002648.SZ,20220525,36.46,36.89,36.22,36.57,-0.2183,48181.27,25.2,804.1,0.1,0.2,8.7,0.8,36.7,40.4,33.0,0,0.0,0.6,wait,16
605009.SH,20220525,34.78,35.52,34.73,35.39,1.0277,5811.57,-193.0,294.6,0.1,-0.1,-3.9,0.2,36.9,40.6,33.2,0,0.0,0.6,wait,15
002960.SZ,20220525,23.82,25.94,23.24,25.76,7.1547,64889.29,-42.6,774.5,0.2,-0.1,-8.5,0.8,25.3,27.8,22.8,0,0.0,1.7,wait,14
600036.SH,20220525,38.98,39.1,38.64,38.78,-0.3085,489025.4,55.6,141.0,0.1,0.3,16.4,0.4,39.2,43.1,35.3,0,0.0,0.5,wait,11
600887.SH,20220525,37.06,37.5,36.91,37.14,0.1078,264342.88,-68.2,-525.4,0.1,-0.1,-6.5,0.1,37.7,41.5,33.9,0,0.0,0.5,wait,56
002709.SZ,20220525,38.71,39.4,37.89,38.23,-1.6212,336366.91,-41.7,1109.5,0.2,0.2,9.8,0.6,39.4,43.3,35.4,0,0.0,0.6,wait,15
600585.SH,20220525,36.92,37.24,36.73,37.12,0.5417,126211.12,-128.1,-794.1,0.1,-0.1,-7.0,0.1,38.1,41.9,34.3,0,0.0,0.6,wait,56
603938.SH,20220525,41.58,42.45,39.9,40.9,-1.6354,62854.12,92.3,1115.7,0.4,0.6,29.2,1.0,37.2,41.0,33.5,0,1.0,1.0,wait,0
002597.SZ,20220525,36.0,36.5,35.6,36.16,1.2885,50934.75,-129.1,-377.8,0.1,-0.4,-23.7,0.3,38.0,41.8,34.2,0,0.0,0.5,wait,56
002129.SZ,20220525,42.51,43.1,42.06,42.68,0.0,313439.45,49.2,1230.1,0.2,0.5,25.7,0.9,41.3,45.4,37.1,0,0.0,0.7,wait,17
603678.SH,20220525,38.74,39.8,38.39,39.35,1.001,44560.31,-190.1,716.4,0.2,-0.0,-2.7,0.8,40.2,44.2,36.2,0,0.0,0.7,wait,15
600438.SH,20220525,45.2,45.45,44.44,45.17,0.4671,412730.16,75.3,1256.6,0.2,0.8,37.5,0.9,42.2,46.5,38.0,0,0.0,0.5,wait,1
000999.SZ,20220525,39.04,40.6,38.72,40.49,4.0607,43790.16,-2.6,464.9,0.2,0.0,2.7,0.9,39.1,43.0,35.2,0,0.0,0.7,wait,10
002541.SZ,20220525,39.43,40.54,39.4,40.32,1.2811,22942.14,37.4,840.9,0.1,0.1,8.3,0.9,39.9,43.8,35.9,0,0.0,1.2,wait,13
600038.SH,20220525,34.56,34.8,33.76,34.72,0.3758,193412.43,-181.8,19.9,0.2,-0.8,-37.2,0.0,40.1,44.1,36.1,-1,-1.0,0.9,wait,2
605399.SH,20220525,44.41,45.09,43.53,43.71,-1.3764,29598.0,74.8,1026.5,0.2,0.5,24.3,0.8,42.8,47.1,38.5,0,0.0,0.8,wait,15
603939.SH,20220525,44.93,47.66,44.13,46.98,4.8661,66794.24,207.4,930.3,0.3,0.5,25.1,1.0,41.2,45.4,37.1,1,1.0,1.7,wait,1
600976.SH,20220525,39.37,40.15,38.73,39.91,1.3716,31773.53,-142.1,490.4,0.2,-0.2,-13.7,0.7,41.6,45.8,37.4,0,0.0,0.8,wait,13
601318.SH,20220525,43.03,43.5,43.02,43.23,0.2086,263748.91,-111.2,-664.9,0.1,-0.0,-2.4,0.0,44.3,48.8,39.9,0,0.0,0.6,wait,56
600460.SH,20220525,45.15,46.16,44.26,44.82,-0.7529,212646.0,-3.1,1120.0,0.2,0.2,11.5,0.8,44.6,49.1,40.2,0,0.0,0.6,wait,17
603369.SH,20220525,43.45,44.16,42.71,43.82,1.1542,92411.53,-75.6,195.0,0.1,-0.1,-4.6,0.6,44.1,48.5,39.7,0,0.0,1.0,wait,35
603217.SH,20220525,29.5329,29.5329,27.5002,28.2494,-4.0666,28248.22,42.1,1114.2,0.4,0.3,18.9,0.9,27.0,29.6,24.3,0,0.0,1.2,wait,1
002271.SZ,20220525,45.3,46.77,45.23,45.96,1.457,100139.48,78.7,446.6,0.1,0.2,13.8,0.8,45.0,49.5,40.5,0,0.0,0.5,wait,56
002240.SZ,20220525,50.21,50.79,48.17,49.99,-0.9707,324166.77,96.3,1146.5,0.3,0.7,35.1,1.0,46.4,51.1,41.8,0,0.0,0.8,wait,16
003026.SZ,20220525,44.0,45.51,43.83,44.43,0.5204,9264.0,-41.6,672.1,0.3,-0.1,-7.0,0.5,45.9,50.5,41.3,0,0.0,0.6,wait,10
603658.SH,20220525,42.55,46.89,42.2,44.3,3.9174,74164.84,-30.0,-443.0,0.1,-0.3,-15.9,0.5,45.0,49.5,40.5,0,0.0,1.8,wait,56
603666.SH,20220525,48.27,49.9,47.19,48.83,0.4939,14541.4,33.0,1215.3,0.2,0.6,30.7,0.7,47.7,52.4,42.9,0,0.0,0.8,wait,2
601100.SH,20220525,46.9,47.55,46.5,47.4,0.6797,22567.54,-83.3,850.2,0.2,-0.1,-3.7,0.7,47.9,52.7,43.1,0,0.0,0.6,wait,17
603155.SH,20220525,32.697,34.2238,32.2444,33.1497,0.2452,16939.1,-38.1,-13.4,0.2,0.1,5.5,0.7,33.6,37.0,30.3,0,0.0,1.1,wait,16
603899.SH,20220525,47.8,50.28,47.5,50.0,3.8637,29425.93,70.7,806.4,0.1,-0.0,-0.7,1.0,48.2,53.0,43.3,0,0.0,1.1,wait,56
002352.SZ,20220525,48.68,48.91,47.75,48.5,0.3933,211714.81,-87.1,-64.6,0.1,-0.1,-3.2,0.5,49.1,54.1,44.2,0,0.0,0.5,wait,34
603896.SH,20220525,37.4283,37.9654,36.5766,37.8196,1.0247,10945.08,-122.6,412.1,0.1,-0.0,-0.7,0.8,37.9,41.7,34.1,0,0.0,0.6,wait,17
600885.SH,20220525,50.0,50.9,48.95,50.11,0.0,54695.43,-52.4,944.6,0.3,-0.0,-1.8,0.8,49.4,54.4,44.5,0,0.0,1.2,wait,5
603995.SH,20220525,34.01,34.75,33.1,33.49,-2.3615,11006.51,-45.3,774.7,0.2,-0.0,-2.2,0.7,33.7,37.1,30.3,0,0.0,0.6,wait,15
002557.SZ,20220525,54.1,54.92,53.48,54.14,0.0924,23215.17,-6.2,-509.8,0.1,0.2,10.4,0.3,54.6,60.1,49.2,0,0.0,0.5,wait,56
605266.SH,20220525,54.32,57.59,54.18,57.39,5.1677,7423.22,175.4,-549.5,0.1,0.2,13.8,0.6,55.7,61.2,50.1,0,0.0,1.7,wait,16
000333.SZ,20220525,53.5,53.8,53.0,53.4,-0.725,221974.39,-184.2,-358.7,0.1,-0.4,-23.5,0.2,55.9,61.5,50.3,0,0.0,0.6,wait,56
603198.SH,20220525,57.55,58.6,55.8,57.27,-0.5557,75593.1,-20.3,575.9,0.1,0.1,3.9,0.6,57.6,63.3,51.8,0,0.0,0.9,wait,28
605358.SH,20220525,59.38,60.7,58.8,59.98,1.0104,70213.52,22.0,1101.7,0.2,0.3,15.2,0.9,58.1,63.9,52.3,0,0.0,0.5,wait,17
