ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,cci,cci_shift,cci_sum,max_falling_rating,SLOP,ANGLE,stoch,ema,ema_upper,ema_lower,envelope,envelope_shift,cci_status,envelope_days
001965.SZ,20220524,7.35,7.37,7.2,7.21,7.36,-0.15000000000000036,-2.038,50388.5,36566.657,-16.170212765957274,110.93117408906892,-112.69794748258278,0.09044585987261146,0.01883333333333431,1.0789429612018897,0.09859154929577506,7.408997863336444,8.14989764967009,6.6680980770028,0,0.0,wait,55
002978.SZ,20220524,33.29,33.65,31.8,31.89,33.45,-1.5600000000000023,-4.6637,22896.11,75169.816,64.05720047667076,170.5030674846629,711.465343901285,0.17593123209169045,0.12872222222222263,7.3349058384731185,0.5097719869706842,32.75696111872654,36.03265723059919,29.48126500685388,0,0.0,wait,13
002531.SZ,20220524,12.71,13.7,12.6,12.62,13.02,-0.40000000000000036,-3.0722,977823.61,1281500.021,135.5996621621623,173.622291021672,1239.689310820929,0.3064516129032258,0.3129999999999991,17.380120064921158,0.8997493734335839,11.382847435212053,12.521132178733259,10.244562691690847,1,1.0,wait,3
002080.SZ,20220524,22.56,23.05,21.7,21.79,22.58,-0.7899999999999991,-3.4987,193010.72,432749.664,77.24338282763003,142.52427184465975,1123.4651928054102,0.19475982532751082,0.17833333333333534,10.111450823901835,0.7511210762331838,21.63534545323123,23.798879998554355,19.471810907908107,0,0.0,wait,16
002027.SZ,20220524,5.72,5.72,5.48,5.48,5.7,-0.21999999999999975,-3.8596,1295305.12,722696.676,-169.26095487246644,15.455950540958757,462.02986055491004,0.13827993254637427,-0.006722222222222845,-0.3851491609440312,0.4512195121951224,5.728415462375664,6.301257008613231,5.155573916138097,0,0.0,wait,16
002001.SZ,20220524,21.1834,21.1915,20.4289,20.51,21.1915,-0.6814999999999998,-3.2159,264864.25,676934.503,-63.60983700809196,-3.1676513302451155,-645.9478446076624,0.1699607895819515,-0.0922633333333343,-5.2713758382244915,0.18236383845868898,21.806439585363947,23.98708354390034,19.625795626827554,0,0.0,wait,4
000935.SZ,20220524,21.12,21.22,20.15,20.15,20.89,-0.740000000000002,-3.5424,42691.14,87835.281,55.02005206501075,97.92248815453766,1085.080950859654,0.2480879541108987,0.1342222222222214,7.644677511586801,0.851637764932562,19.591774010908342,21.550951411999176,17.632596609817508,0,0.0,wait,15
000877.SZ,20220524,12.31,12.35,11.82,11.85,12.3,-0.45000000000000107,-3.6585,126018.38,151700.875,-137.13123092573485,22.942643391521578,-91.95561759055451,0.07942811755361398,-0.02766666666666761,-1.584778962280826,0.2599999999999998,12.32118137375277,13.553299511128047,11.089063236377493,0,0.0,wait,16
000785.SZ,20220524,4.18,4.19,4.0,4.0,4.17,-0.16999999999999993,-4.0767,143645.0,59030.874,66.60477295720999,148.8093244465279,758.872517719624,0.18464421896206287,0.026063888888889206,1.4930128112957852,0.251079220627698,4.051010713067723,4.456111784374495,3.6459096417609507,0,0.0,wait,15
000776.SZ,20220524,17.03,17.16,16.51,16.52,17.07,-0.5500000000000007,-3.222,572783.91,961997.648,110.51468266498289,186.45454545454544,861.6813829915418,0.13415348564733456,0.1597222222222239,9.074758021008778,0.7598253275109168,16.20793547288653,17.82872902017518,14.587141925597876,0,0.0,wait,15
603977.SH,20220524,8.77,8.89,8.3,8.31,8.85,-0.5399999999999991,-6.1017,85261.44,73142.46,41.80790960452024,194.21364985163257,636.3775761354713,0.17934782608695649,0.026444444444443972,1.5148020193441518,0.4606060606060612,8.543676829439322,9.398044512383255,7.68930914649539,0,0.0,wait,16
603568.SH,20220524,28.87,29.15,28.42,28.53,28.85,-0.3200000000000003,-1.1092,28841.17,82946.14,117.40796862465464,109.50788342092689,920.4906625409164,0.21455805892547664,0.14694444444444849,8.359471306088624,0.9483037156704361,27.199166398709306,29.919083038580236,24.479249758838375,0,0.0,wait,16
603260.SH,20220524,96.92,102.07,95.12,99.45,97.21,2.240000000000009,2.3043,185227.46,1839445.011,137.95864743970736,152.60642101697468,1175.9244921464006,0.2530920060331825,2.279111111111127,66.3096930190192,1.0,88.77739133263887,97.65513046590276,79.89965219937498,1,1.0,wait,2
603258.SH,20220524,20.16,20.2,19.21,19.24,20.13,-0.8900000000000006,-4.4213,16861.0,33166.013,-8.291970802922107,135.714285714285,-407.4406997683276,0.16295325469637398,0.03577777777777724,2.049041673750113,0.021447721179624204,20.51630384626056,22.567934230886614,18.464673461634504,0,0.0,wait,8
601919.SH,20220524,15.14,15.68,14.94,14.95,15.14,-0.19000000000000128,-1.255,1974948.99,3028884.242,195.16678012253183,221.64614387556833,55.224429211534755,0.10435931307793923,0.10416666666666667,5.9468630539735,0.8797468354430372,14.587802266054053,16.04658249265946,13.129022039448648,0,0.0,wait,16
601918.SH,20220524,5.19,5.38,5.11,5.12,5.19,-0.07000000000000028,-1.3487,842028.98,441635.816,135.8490566037738,163.32835077229723,667.7158510963079,0.18929254302103252,0.07883333333333321,4.50749514114013,0.8888888888888886,4.919787022024124,5.4117657242265365,4.427808319821712,0,0.0,wait,15
601717.SH,20220524,12.29,12.62,11.83,11.86,12.22,-0.3600000000000012,-2.946,180550.34,220175.121,3.4528552456836095,82.13265629958761,437.2051422832518,0.13801452784503637,-0.011055555555556026,-0.6334108680672158,0.6900584795321633,12.122849489240092,13.335134438164102,10.910564540316082,0,0.0,wait,16
