ts_code,name,market,publisher,category,base_date,base_point,list_date
399966.SZ,中证800证保,SZSE,中证公司,主题指数,20041231,1000.0,20140404
399967.SZ,中证军工,SZSE,中证公司,主题指数,20041231,1000.0,20131226
399968.SZ,300周期,SZSE,中证公司,主题指数,20041231,1000.0,20100528
399969.SZ,300非周,SZSE,中证公司,主题指数,20041231,1000.0,20100528
399970.SZ,中证移动互联,SZSE,中证公司,主题指数,20120630,1000.0,20140505
399971.SZ,中证传媒,SZSE,中证公司,主题指数,20101231,1000.0,20140415
399972.SZ,300深市,SZSE,中证公司,主题指数,20041231,1000.0,20120621
399973.SZ,中证国防,SZSE,中证公司,主题指数,20110630,1000.0,20140415
399974.SZ,国企改革,SZSE,中证公司,主题指数,20140331,1000.0,20140807
399975.SZ,证券公司,SZSE,中证公司,四级行业指数,20070629,1000.0,20130715
399976.SZ,CS新能车,SZSE,中证公司,主题指数,20111231,1000.0,20141128
399977.SZ,内地低碳,SZSE,中证公司,主题指数,20100630,1000.0,20110121
399978.SZ,医药100,SZSE,中证公司,主题指数,20041231,1000.0,20110318
399979.SZ,大宗商品,SZSE,中证公司,主题指数,20041231,1000.0,20110822
399980.SZ,中证超大,SZSE,中证公司,规模指数,20041231,1000.0,20110510
399981.SZ,300分层,SZSE,中证公司,策略指数,20041231,1000.0,20110613
399982.SZ,500等权,SZSE,中证公司,策略指数,20041231,1000.0,20110613
399983.SZ,地产等权,SZSE,中证公司,策略指数,20041231,1000.0,20131122
399984.SZ,300等权,SZSE,中证公司,策略指数,20041231,1000.0,20110802
399985.SZ,中证全指,SZSE,中证公司,规模指数,20041231,1000.0,20110802
399986.SZ,中证银行,SZSE,中证公司,二级行业指数,20041231,1000.0,20130715
399987.SZ,中证酒,SZSE,中证公司,主题指数,20081231,1000.0,20141210
399989.SZ,中证医疗,SZSE,中证公司,主题指数,20041231,1000.0,20141031
399990.SZ,煤炭等权,SZSE,中证公司,主题指数,20081231,1000.0,20150121
399991.SZ,一带一路,SZSE,中证公司,主题指数,20121231,1000.0,20150216
399992.SZ,CSWD并购,SZSE,中证公司,主题指数,20111230,1000.0,20150508
399993.SZ,CSWD生科,SZSE,中证公司,主题指数,20091231,1000.0,20150508
399994.SZ,信息安全,SZSE,中证公司,主题指数,20101231,1000.0,20150312
399995.SZ,基建工程,SZSE,中证公司,一级行业指数,20041231,1000.0,20150312
399996.SZ,中证智能家居,SZSE,中证公司,主题指数,20120629,1000.0,20140917
399997.SZ,中证白酒,SZSE,中证公司,主题指数,20081231,1000.0,20150121
399998.SZ,中证煤炭,SZSE,中证公司,三级行业指数,20081231,1000.0,20150213
980001.SZ,湾创100,SZSE,深交所,主题指数,20170630,1000.0,20190409
980017.SZ,国证芯片,SZSE,深交所,二级行业指数,20021231,1000.0,20150217
980023.SZ,南山50,SZSE,深交所,主题指数,20121231,1000.0,20191231
B10013.SZ,深证地债,SZSE,深交所,债券指数,20151231,100.0,20190228
B10014.SZ,一般地债,SZSE,深交所,债券指数,20151231,100.0,20190228
B10015.SZ,专项地债,SZSE,深交所,债券指数,20151231,100.0,20190228
B10016.SZ,深证地债1-3,SZSE,深交所,债券指数,20151231,100.0,20190228
B10017.SZ,深证地债3-5,SZSE,深交所,债券指数,20151231,100.0,20190228
B10018.SZ,深证地债5-10,SZSE,深交所,债券指数,20151231,100.0,20190228
B20013.SZ,深证地债(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B20014.SZ,一般地债(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B20015.SZ,专项地债(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B20016.SZ,深证地债1-3(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B20017.SZ,深证地债3-5(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B20018.SZ,深证地债5-10(净价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30013.SZ,深证地债(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30014.SZ,一般地债(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30015.SZ,专项地债(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30016.SZ,深证地债1-3(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30017.SZ,深证地债3-5(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
B30018.SZ,深证地债5-10(全价),SZSE,深交所,债券指数,20151231,100.0,20190228
h20349.SZ,国企改革全收益,SZSE,中证公司,策略指数,20140331,1000.0,20140807
s00701.SZ,深证F60R,SZSE,深交所,策略指数,20021231,1000.0,20100510
s00702.SZ,深证F120R,SZSE,深交所,策略指数,20021231,1000.0,20100510
s00703.SZ,深证F200R,SZSE,深交所,策略指数,20021231,1000.0,20100510
s00704.SZ,深证上游R,SZSE,深交所,主题指数,20021231,1000.0,20111018
s00705.SZ,深证中游R,SZSE,深交所,主题指数,20021231,1000.0,20111018
s00706.SZ,深证下游R,SZSE,深交所,主题指数,20021231,1000.0,20111018
s00802.SZ,500深市全收益,SZSE,中证公司,主题指数,20041231,1000.0,20120905
s00959.SZ,军工指数全收益,SZSE,中证公司,主题指数,20110630,1000.0,20110830
T99901.SZ,小康指数(旧),SZSE,中证公司,主题指数,20051230,1000.0,20060109











IVIX.SH,中国波指,SSE,上交所,其他,,,20150626
j00140.SH,上证5年国债(净),SSE,上交所,债券指数,20071231,100.0,20120912
m11095.SH,沪跨市中期中高债(税),SSE,上交所,债券指数,20081231,100.0,20130801
m11098.SH,沪城投债(税),SSE,上交所,债券指数,20081231,100.0,20131115
m50102.SH,上证周期债(税),SSE,上交所,债券指数,20071231,100.0,20160819
m50113.SH,沪质中高债3-5(税),SSE,上交所,债券指数,20081231,100.0,20170223
m50117.SH,上证绿色债(税),SSE,上交所,债券指数,20161230,100.0,20170619
m50118.SH,上证绿色公司债(税),SSE,上交所,债券指数,20161230,100.0,20170619
n00009.SH,上证380净收益,SSE,中证公司,规模指数,20031231,1000.0,20130208
n00010.SH,上证180净收益,SSE,中证公司,规模指数,20020628,3299.06,20130208
