3525,601518.SH,601518,吉林高速,吉林,路桥,20100319
3526,601519.SH,601519,大智慧,上海,软件服务,20110128
3527,601528.SH,601528,瑞丰银行,浙江,银行,20210625
3528,601555.SH,601555,东吴证券,江苏,证券,20111212
3529,601566.SH,601566,九牧王,福建,服饰,20110530
3530,601567.SH,601567,三星医疗,浙江,电器仪表,20110615
3531,601568.SH,601568,北元集团,陕西,化工原料,20201020
3532,601577.SH,601577,长沙银行,湖南,银行,20180926
3533,601579.SH,601579,会稽山,浙江,红黄酒,20140825
3534,601588.SH,601588,北辰实业,北京,区域地产,20061016
3535,601595.SH,601595,上海电影,上海,影视音像,20160817
3536,601598.SH,601598,中国外运,北京,仓储物流,20190118
3537,601599.SH,601599,浙文影业,浙江,纺织,20110527
3538,601600.SH,601600,中国铝业,北京,铝,20070430
3539,601601.SH,601601,中国太保,上海,保险,20071225
3540,601606.SH,601606,长城军工,安徽,专用机械,20180806
3541,601607.SH,601607,上海医药,上海,医药商业,19940324
3542,601608.SH,601608,中信重工,河南,专用机械,20120706
3543,601609.SH,601609,金田铜业,浙江,铜,20200422
3544,601611.SH,601611,中国核建,上海,建筑工程,20160606
3545,601615.SH,601615,明阳智能,广东,电气设备,20190123
3546,601616.SH,601616,广电电气,上海,电气设备,20110201
3547,601618.SH,601618,中国中冶,北京,建筑工程,20090921
3548,601619.SH,601619,嘉泽新能,宁夏,新型电力,20170720
3549,601628.SH,601628,中国人寿,北京,保险,20070109
3550,601633.SH,601633,长城汽车,河北,汽车整车,20110928
3551,601636.SH,601636,旗滨集团,湖南,玻璃,20110812
3552,601658.SH,601658,邮储银行,北京,银行,20191210
3553,601665.SH,601665,齐鲁银行,山东,银行,20210618
3554,601666.SH,601666,平煤股份,河南,煤炭开采,20061123
3555,601668.SH,601668,中国建筑,北京,建筑工程,20090729
3556,601669.SH,601669,中国电建,北京,建筑工程,20111018
3557,601677.SH,601677,明泰铝业,河南,铝,20110919
3558,601678.SH,601678,滨化股份,山东,化工原料,20100223
3559,601686.SH,601686,友发集团,天津,钢加工,20201204
3560,601688.SH,601688,华泰证券,江苏,证券,20100226
3561,601689.SH,601689,拓普集团,浙江,汽车配件,20150319
3562,601696.SH,601696,中银证券,上海,证券,20200226
3563,601698.SH,601698,中国卫通,北京,电信运营,20190628
3564,601699.SH,601699,潞安环能,山西,煤炭开采,20060922
3565,601700.SH,601700,风范股份,江苏,电气设备,20110118
3566,601702.SH,601702,华峰铝业,上海,铝,20200907
3567,601717.SH,601717,郑煤机,河南,汽车配件,20100803
3568,601718.SH,601718,际华集团,北京,服饰,20100816
3569,601727.SH,601727,上海电气,上海,电气设备,20081205
3570,601728.SH,601728,中国电信,北京,电信运营,20210820
3571,601766.SH,601766,中国中车,北京,运输设备,20080818
3572,601777.SH,601777,力帆科技,重庆,摩托车,20101125
3573,601778.SH,601778,晶科科技,江西,新型电力,20200519
3574,601788.SH,601788,光大证券,上海,证券,20090818
3575,601789.SH,601789,宁波建工,浙江,建筑工程,20110816
3576,601798.SH,601798,蓝科高新,甘肃,化工机械,20110622
3577,601799.SH,601799,星宇股份,江苏,汽车配件,20110201
3578,601800.SH,601800,中国交建,北京,建筑工程,20120309
3579,601801.SH,601801,皖新传媒,安徽,出版业,20100118
3580,601808.SH,601808,中海油服,天津,石油开采,20070928
3581,601811.SH,601811,新华文轩,四川,出版业,20160808
3582,601816.SH,601816,京沪高铁,北京,铁路,20200116
3583,601818.SH,601818,光大银行,北京,银行,20100818
3584,601825.SH,601825,沪农商行,上海,银行,20210819
3585,601827.SH,601827,三峰环境,重庆,环境保护,20200605
3586,601828.SH,601828,美凯龙,上海,其他商业,20180117
3587,601838.SH,601838,成都银行,四川,银行,20180131
3588,601857.SH,601857,中国石油,北京,石油开采,20071105
3589,601858.SH,601858,中国科传,北京,出版业,20170118
3590,601860.SH,601860,紫金银行,江苏,银行,20190103
3591,601865.SH,601865,福莱特,浙江,玻璃,20190215
3592,601866.SH,601866,中远海发,上海,水运,20071212
3593,601868.SH,601868,中国能建,北京,建筑工程,20210928
3594,601869.SH,601869,长飞光纤,湖北,通信设备,20180720
3595,601872.SH,601872,招商轮船,上海,水运,20061201
3596,601877.SH,601877,正泰电器,浙江,电气设备,20100121
3597,601878.SH,601878,浙商证券,浙江,证券,20170626
3598,601880.SH,601880,辽港股份,辽宁,港口,20101206
3599,601881.SH,601881,中国银河,北京,证券,20170123
3600,601882.SH,601882,海天精工,浙江,机床制造,20161107
3601,601886.SH,601886,江河集团,北京,装修装饰,20110818
3602,601888.SH,601888,中国中免,北京,旅游服务,20091015
3603,601890.SH,601890,亚星锚链,江苏,船舶,20101228
3604,601898.SH,601898,中煤能源,北京,煤炭开采,20080201
3605,601899.SH,601899,紫金矿业,福建,铜,20080425
3606,601900.SH,601900,南方传媒,广东,出版业,20160215
3607,601901.SH,601901,方正证券,湖南,证券,20110810
