code,plate_name,plate_id
SH.BK0316,边缘计算,BK0316
SH.BK0317,太阳能,BK0317
SH.BK0318,养老概念,BK0318
SH.BK0319,短视频,BK0319
SH.BK0320,国产软件,BK0320
SH.BK0321,煤化工,BK0321
SH.BK0322,天然气,BK0322
SH.BK0323,网约车,BK0323
SH.BK0324,海工装备,BK0324
SH.BK0325,阿里概念,BK0325
SH.BK0326,长三角一体化,BK0326
SH.BK0327,大数据,BK0327
SH.BK0329,铁路基建,BK0329
SH.BK0330,冷链物流,BK0330
SH.BK0331,军民融合,BK0331
SH.BK0332,沪伦通,BK0332
SH.BK0333,OLED,BK0333
SH.BK0334,手游概念,BK0334
SH.BK0335,人脸识别,BK0335
SH.BK0336,物联网,BK0336
SH.BK0337,知识产权保护,BK0337
SH.BK0338,融资融券,BK0338
SH.BK0339,农机,BK0339
SH.BK0340,河南,BK0340
SH.BK0341,贵州,BK0341
SH.BK0342,高铁,BK0342
SH.BK0343,超级真菌,BK0343
SH.BK0344,国企改革,BK0344
SH.BK0345,智能医疗,BK0345
SH.BK0346,乡村振兴,BK0346
SH.BK0347,移动支付,BK0347
SH.BK0348,债转股,BK0348
SH.BK0349,中字头,BK0349
SH.BK0350,啤酒,BK0350
SH.BK0351,上海国资改革,BK0351
SH.BK0352,智能穿戴,BK0352
SH.BK0353,山西,BK0353
SH.BK0354,钛白粉,BK0354
SH.BK0355,天津自贸区,BK0355
SH.BK0356,LED,BK0356
SH.BK0358,锂电池概念,BK0358
SH.BK0359,垃圾分类,BK0359
SH.BK0360,杭州湾大湾区,BK0360
SH.BK0361,地热能,BK0361
SH.BK0362,蚂蚁金服概念,BK0362
SH.BK0363,云计算,BK0363
SH.BK0365,猪肉,BK0365
SH.BK0366,白马股,BK0366
SH.BK0367,独角兽概念,BK0367
SH.BK0368,网络安全,BK0368
SH.BK0369,民营医院,BK0369
SH.BK0370,数字孪生,BK0370
SH.BK0371,数字中国,BK0371
SH.BK0372,透明工厂,BK0372
SH.BK0373,钴,BK0373
SH.BK0374,特色小镇,BK0374
SH.BK0376,体育产业,BK0376
SH.BK0377,宽带中国,BK0377
SH.BK0379,江西,BK0379
SH.BK0380,京津冀一体化,BK0380
SH.BK0381,可燃冰,BK0381
SH.BK0383,宁夏,BK0383
SH.BK0384,江苏,BK0384
SH.BK0385,稀土永磁,BK0385
SH.BK0386,人造肉,BK0386
SH.BK0387,石墨电极,BK0387
SH.BK0388,辽宁,BK0388
SH.BK0389,Facebook概念,BK0389
SH.BK0390,O2O概念,BK0390
SH.BK0391,海南,BK0391
SH.BK0392,小米概念,BK0392
SH.BK0393,机器人概念,BK0393
SH.BK0394,家用电器,BK0394
SH.BK0395,页岩气,BK0395
SH.BK0396,创业板壳资源,BK0396
SH.BK0397,青海,BK0397
SH.BK0398,宁德时代概念,BK0398
SH.BK0399,跨境电商,BK0399
SH.BK0400,种植业,BK0400
SH.BK0401,专业工程,BK0401
SH.BK0402,专业连锁Ⅱ,BK0402
SH.BK0403,装修装饰Ⅱ,BK0403
SH.BK0411,航母概念,BK0411
SH.BK0412,PM2.5,BK0412
SH.BK0413,装配式建筑,BK0413
SH.BK0414,单抗概念,BK0414
SH.BK0415,互联网金融,BK0415
SH.BK0416,快递物流,BK0416
SH.BK0417,特高压,BK0417
SH.BK0418,光伏概念,BK0418
SH.BK0419,智能家居,BK0419
SH.BK0420,北斗导航,BK0420
SH.BK0421,全息技术,BK0421
SH.BK0422,参股新三板,BK0422
SH.BK0423,云南,BK0423
SH.BK0424,湖北,BK0424
SH.BK0425,股份回购,BK0425
SH.BK0426,特斯拉概念,BK0426
SH.BK0427,地下管网,BK0427
SH.BK0428,电力改革,BK0428
SH.BK0429,智慧城市,BK0429
SH.BK0430,3D打印,BK0430
SH.BK0432,BDI指数,BK0432
SH.BK0433,券商,BK0433
SH.BK0434,玻璃概念,BK0434
SH.BK0435,两桶油改革,BK0435
SH.BK0436,河北,BK0436
SH.BK0437,燃料乙醇,BK0437
SH.BK0438,ST概念,BK0438
SH.BK0439,沪股通,BK0439
SH.BK0440,MSCI概念,BK0440
SH.BK0441,超高清视频,BK0441
SH.BK0442,西安自贸区,BK0442
SH.BK0443,3D玻璃,BK0443
SH.BK0444,房地产开发,BK0444
SH.BK0445,棉花,BK0445
SH.BK0446,节能照明,BK0446
SH.BK0447,壳资源,BK0447
SH.BK0448,柔性屏,BK0448
SH.BK0449,参股民营银行,BK0449
SH.BK0450,东盟自贸区,BK0450
SH.BK0451,石墨烯,BK0451
SH.BK0452,无人银行,BK0452
SH.BK0453,生物质能,BK0453
SH.BK0454,无人机,BK0454
SH.BK0455,振兴东北,BK0455
SH.BK0456,分散染料,BK0456
SH.BK0457,马彩概念,BK0457
SH.BK0459,进口博览会,BK0459
SH.BK0460,网红直播,BK0460
SH.BK0461,量子通信,BK0461
SH.BK0462,杭州亚运会,BK0462
SH.BK0463,PCB,BK0463
SH.BK0464,靶材,BK0464
SH.BK0465,山东,BK0465
SH.BK0466,在线教育,BK0466
SH.BK0467,语音技术,BK0467
SH.BK0468,一带一路,BK0468
SH.BK0470,彩票概念,BK0470
SH.BK0471,广西,BK0471
SH.BK0472,增强现实,BK0472
SH.BK0473,节能环保,BK0473
SH.BK0474,白酒,BK0474
SH.BK0475,生物疫苗,BK0475
SH.BK0476,基因测序,BK0476
SH.BK0477,浙江,BK0477
SH.BK0478,医药电商,BK0478
SH.BK0479,稀缺资源,BK0479
SH.BK0480,新材料,BK0480
SH.BK0481,职业教育,BK0481
SH.BK0482,吉林,BK0482
SH.BK0483,百度概念,BK0483
SH.BK0484,新零售,BK0484
SH.BK0485,污水处理,BK0485
SH.BK0487,重庆,BK0487
SH.BK0488,烟草,BK0488
SH.BK0489,草甘膦,BK0489
SH.BK0490,甘肃,BK0490
SH.BK0491,电子发票,BK0491
SH.BK0492,食品安全,BK0492
SH.BK0493,超导概念,BK0493
SH.BK0494,文化传媒,BK0494
SH.BK0495,能源互联网,BK0495
SH.BK0496,西藏,BK0496
SH.BK0497,生态农业,BK0497
SH.BK0498,房屋租赁,BK0498
SH.BK0499,水利建设,BK0499
SH.BK0500,军工,BK0500
SH.BK0532,固废处理,BK0532
SH.BK0533,智能电网,BK0533
SH.BK0534,5G概念,BK0534
SH.BK0535,人工智能,BK0535
SH.BK0537,养老金持股,BK0537
SH.BK0538,湖南,BK0538
SH.BK0540,水泥概念,BK0540
SH.BK0541,PPP模式,BK0541
SH.BK0542,无人驾驶,BK0542
SH.BK0543,股权转让,BK0543
SH.BK0544,粤港澳自贸区,BK0544
SH.BK0545,充电桩,BK0545
SH.BK0546,金融改革,BK0546
SH.BK0547,天津,BK0547
SH.BK0548,参股券商,BK0548
SH.BK0549,超级电容,BK0549
SH.BK0550,腾讯概念,BK0550
SH.BK0551,深股通,BK0551
SH.BK0552,AH股,BK0552
SH.BK0553,摘帽,BK0553
SH.BK0554,国产操作系统,BK0554
SH.BK0555,福建自贸区,BK0555
SH.BK0556,国资驰援,BK0556
SH.BK0557,油改概念,BK0557
SH.BK0558,核电,BK0558
SH.BK0559,新能源车,BK0559
SH.BK0560,苹果概念,BK0560
SH.BK0561,无人零售,BK0561
SH.BK0562,供应链金融,BK0562
SH.BK0563,举牌概念,BK0563
SH.BK0564,超级品牌,BK0564
SH.BK0565,工业互联网,BK0565
SH.BK0566,蓝宝石,BK0566
SH.BK0567,维生素,BK0567
SH.BK0568,上海,BK0568
SH.BK0569,白糖,BK0569
SH.BK0570,新疆振兴,BK0570
SH.BK0571,智能交通,BK0571
SH.BK0573,青蒿素,BK0573
SH.BK0575,足球概念,BK0575
SH.BK0576,富士康概念,BK0576
SH.BK0577,安徽,BK0577
SH.BK0578,镍,BK0578
SH.BK0579,生物医药,BK0579
SH.BK0580,高校,BK0580
SH.BK0581,电子竞技,BK0581
SH.BK0582,广东,BK0582
SH.BK0583,无线充电,BK0583
SH.BK0584,尾气治理,BK0584
SH.BK0585,禽流感,BK0585
SH.BK0586,集成电路,BK0586
SH.BK0587,特钢概念,BK0587
SH.BK0588,万达私有化,BK0588
SH.BK0589,氟化工,BK0589
SH.BK0590,创投,BK0590
SH.BK0591,疫苗检测溯源,BK0591
SH.BK0592,黑龙江,BK0592
SH.BK0593,电商概念,BK0593
SH.BK0594,芯片概念,BK0594
SH.BK0595,车联网,BK0595
SH.BK0596,四川,BK0596
SH.BK0597,油气设备服务,BK0597
SH.BK0598,陕西,BK0598
SH.BK0599,物流电商平台,BK0599
SH.BK0601,信托,BK0601
SH.BK0602,工业4.0,BK0602
SH.BK0603,风电,BK0603
SH.BK0604,安防,BK0604
SH.BK0605,大飞机,BK0605
SH.BK0607,送转预期,BK0607
SH.BK0608,网络游戏,BK0608
SH.BK0609,土地流转,BK0609
SH.BK0610,自由贸易港,BK0610
SH.BK0611,期货概念,BK0611
SH.BK0612,高送转填权,BK0612
SH.BK0614,海绵城市,BK0614
SH.BK0615,通用航空,BK0615
SH.BK0616,氢能源,BK0616
SH.BK0617,智慧停车,BK0617
SH.BK0618,北京,BK0618
SH.BK0619,IPV6,BK0619
SH.BK0620,虚拟现实,BK0620
SH.BK0621,转融券标的,BK0621
SH.BK0622,农村电商,BK0622
SH.BK0623,深圳国资改革,BK0623
SH.BK0624,智能电视,BK0624
SH.BK0625,内蒙古,BK0625
SH.BK0626,触摸屏概念,BK0626
SH.BK0627,AB股,BK0627
SH.BK0628,工业大麻,BK0628
SH.BK0629,证金持股,BK0629
SH.BK0632,服装家纺,BK0632
SH.BK0634,ETC,BK0634
