1292,002837.SZ,002837,英维克,深圳,专用机械,20161229
1293,002838.SZ,002838,道恩股份,山东,塑料,20170106
1294,002839.SZ,002839,张家港行,江苏,银行,20170124
1295,002840.SZ,002840,华统股份,浙江,食品,20170110
1296,002841.SZ,002841,视源股份,广东,元器件,20170119
1297,002842.SZ,002842,翔鹭钨业,广东,小金属,20170119
1298,002843.SZ,002843,泰嘉股份,湖南,钢加工,20170120
1299,002845.SZ,002845,同兴达,深圳,元器件,20170125
1300,002846.SZ,002846,英联股份,广东,广告包装,20170207
1301,002847.SZ,002847,盐津铺子,湖南,食品,20170208
1302,002848.SZ,002848,高斯贝尔,湖南,家用电器,20170213
1303,002849.SZ,002849,威星智能,浙江,电器仪表,20170217
1304,002850.SZ,002850,科达利,深圳,电气设备,20170302
1305,002851.SZ,002851,麦格米特,深圳,电气设备,20170306
1306,002852.SZ,002852,道道全,湖南,食品,20170310
1307,002853.SZ,002853,皮阿诺,广东,家居用品,20170310
1308,002855.SZ,002855,捷荣技术,广东,元器件,20170321
1309,002856.SZ,002856,美芝股份,深圳,装修装饰,20170320
1310,002857.SZ,002857,三晖电气,河南,电器仪表,20170323
1311,002858.SZ,002858,力盛赛车,上海,文教休闲,20170324
1312,002859.SZ,002859,洁美科技,浙江,元器件,20170407
1313,002860.SZ,002860,星帅尔,浙江,家用电器,20170412
1314,002861.SZ,002861,瀛通通讯,湖北,通信设备,20170413
1315,002862.SZ,002862,实丰文化,广东,文教休闲,20170411
1316,002863.SZ,002863,今飞凯达,浙江,汽车配件,20170418
1317,002864.SZ,002864,盘龙药业,陕西,中成药,20171116
1318,002865.SZ,002865,钧达股份,海南,汽车配件,20170425
1319,002866.SZ,002866,传艺科技,江苏,IT设备,20170426
1320,002867.SZ,002867,周大生,深圳,服饰,20170427
1321,002868.SZ,002868,绿康生化,福建,农业综合,20170503
1322,002869.SZ,002869,金溢科技,深圳,通信设备,20170515
1323,002870.SZ,002870,香山股份,广东,汽车配件,20170515
1324,002871.SZ,002871,伟隆股份,山东,机械基件,20170511
1326,002873.SZ,002873,新天药业,贵州,中成药,20170519
1327,002875.SZ,002875,安奈儿,深圳,服饰,20170601
1328,002876.SZ,002876,三利谱,深圳,元器件,20170525
1329,002877.SZ,002877,智能自控,江苏,电器仪表,20170605
1330,002878.SZ,002878,元隆雅图,北京,文教休闲,20170606
1331,002879.SZ,002879,长缆科技,湖南,电气设备,20170707
1332,002880.SZ,002880,卫光生物,深圳,生物制药,20170616
1333,002881.SZ,002881,美格智能,深圳,通信设备,20170622
1334,002882.SZ,002882,金龙羽,深圳,电气设备,20170717
1335,002883.SZ,002883,中设股份,江苏,建筑工程,20170620
1336,002884.SZ,002884,凌霄泵业,广东,专用机械,20170711
1337,002885.SZ,002885,京泉华,深圳,元器件,20170627
1338,002886.SZ,002886,沃特股份,深圳,塑料,20170627
1339,002887.SZ,002887,绿茵生态,天津,环境保护,20170801
1340,002888.SZ,002888,惠威科技,广东,元器件,20170721
1341,002889.SZ,002889,东方嘉盛,深圳,仓储物流,20170731
1342,002890.SZ,002890,弘宇股份,山东,农用机械,20170802
1343,002891.SZ,002891,中宠股份,山东,饲料,20170821
1344,002892.SZ,002892,科力尔,湖南,电气设备,20170817
1345,002893.SZ,002893,华通热力,北京,供气供热,20170915
1346,002895.SZ,002895,川恒股份,贵州,化工原料,20170825
1347,002896.SZ,002896,中大力德,浙江,机械基件,20170829
1348,002897.SZ,002897,意华股份,浙江,元器件,20170907
1349,002898.SZ,002898,赛隆药业,广东,化学制药,20170912
1350,002899.SZ,002899,英派斯,山东,文教休闲,20170915
1351,002900.SZ,002900,哈三联,黑龙江,化学制药,20170922
1352,002901.SZ,002901,大博医疗,福建,医疗保健,20170922
1353,002902.SZ,002902,铭普光磁,广东,元器件,20170929
1354,002903.SZ,002903,宇环数控,湖南,机床制造,20171013
1355,002905.SZ,002905,金逸影视,广东,影视音像,20171016
1356,002906.SZ,002906,华阳集团,广东,汽车配件,20171013
1357,002907.SZ,002907,华森制药,重庆,化学制药,20171020
1358,002908.SZ,002908,德生科技,广东,元器件,20171020
1359,002909.SZ,002909,集泰股份,广东,化工原料,20171026
1360,002910.SZ,002910,庄园牧场,甘肃,乳制品,20171031
1361,002911.SZ,002911,佛燃能源,广东,供气供热,20171122
1362,002912.SZ,002912,中新赛克,深圳,软件服务,20171121
1363,002913.SZ,002913,奥士康,湖南,元器件,20171201
1364,002915.SZ,002915,中欣氟材,浙江,化工原料,20171205
1365,002916.SZ,002916,深南电路,深圳,元器件,20171213
1366,002917.SZ,002917,金奥博,深圳,化工原料,20171208
1367,002918.SZ,002918,蒙娜丽莎,广东,其他建材,20171219
1368,002919.SZ,002919,名臣健康,广东,日用化工,20171218
1369,002920.SZ,002920,德赛西威,广东,汽车配件,20171226
1370,002921.SZ,002921,联诚精密,山东,汽车配件,20171227
1371,002922.SZ,002922,伊戈尔,广东,电气设备,20171229
1372,002923.SZ,002923,润都股份,广东,化学制药,20180105
1373,002925.SZ,002925,盈趣科技,福建,元器件,20180115
1374,002926.SZ,002926,华西证券,四川,证券,20180205
1375,002927.SZ,002927,泰永长征,贵州,电气设备,20180223
1376,002928.SZ,002928,华夏航空,贵州,空运,20180302
1377,002929.SZ,002929,润建股份,广西,通信设备,20180301
1378,002930.SZ,002930,宏川智慧,广东,仓储物流,20180328
1379,002931.SZ,002931,锋龙股份,浙江,汽车配件,20180403
1380,002932.SZ,002932,明德生物,湖北,医疗保健,20180710
1381,002933.SZ,002933,新兴装备,北京,航空,20180828
1382,002935.SZ,002935,天奥电子,四川,航空,20180903
1383,002936.SZ,002936,郑州银行,河南,银行,20180919
1384,002937.SZ,002937,兴瑞科技,浙江,元器件,20180926
1385,002938.SZ,002938,鹏鼎控股,深圳,元器件,20180918
1386,002939.SZ,002939,长城证券,深圳,证券,20181026
1387,002940.SZ,002940,昂利康,浙江,化学制药,20181023
1388,002941.SZ,002941,新疆交建,新疆,建筑工程,20181128
1389,002942.SZ,002942,新农股份,浙江,农药化肥,20181205
1390,002943.SZ,002943,宇晶股份,湖南,机床制造,20181129
1391,002945.SZ,002945,华林证券,西藏,证券,20190117
1392,002946.SZ,002946,新乳业,四川,乳制品,20190125
1393,002947.SZ,002947,恒铭达,江苏,元器件,20190201
1394,002948.SZ,002948,青岛银行,山东,银行,20190116
1395,002949.SZ,002949,华阳国际,深圳,建筑工程,20190226
1396,002950.SZ,002950,奥美医疗,湖北,医疗保健,20190311
1397,002951.SZ,002951,金时科技,四川,广告包装,20190315
1398,002952.SZ,002952,亚世光电,辽宁,元器件,20190328
1399,002953.SZ,002953,日丰股份,广东,电气设备,20190509
1400,002955.SZ,002955,鸿合科技,北京,IT设备,20190523
1401,002956.SZ,002956,西麦食品,广西,食品,20190619
1402,002957.SZ,002957,科瑞技术,深圳,专用机械,20190726
1403,002958.SZ,002958,青农商行,山东,银行,20190326
1404,002959.SZ,002959,小熊电器,广东,家用电器,20190823
1405,002960.SZ,002960,青鸟消防,河北,专用机械,20190809
1406,002961.SZ,002961,瑞达期货,福建,多元金融,20190905
1407,002962.SZ,002962,五方光电,湖北,元器件,20190917
1408,002963.SZ,002963,豪尔赛,北京,装修装饰,20191028
1409,002965.SZ,002965,祥鑫科技,广东,汽车配件,20191025
1410,002966.SZ,002966,苏州银行,江苏,银行,20190802
1411,002967.SZ,002967,广电计量,广东,综合类,20191108
1412,002968.SZ,002968,新大正,重庆,房产服务,20191203
1413,002969.SZ,002969,嘉美包装,安徽,广告包装,20191202
1414,002970.SZ,002970,锐明技术,深圳,通信设备,20191217
1415,002971.SZ,002971,和远气体,湖北,化工原料,20200113
1416,002972.SZ,002972,科安达,深圳,运输设备,20191227
1417,002973.SZ,002973,侨银股份,广东,环境保护,20200106
1418,002975.SZ,002975,博杰股份,广东,专用机械,20200205
1419,002976.SZ,002976,瑞玛精密,江苏,汽车配件,20200306
1420,002977.SZ,002977,天箭科技,四川,通信设备,20200317
1421,002978.SZ,002978,安宁股份,四川,小金属,20200417
1422,002979.SZ,002979,雷赛智能,深圳,专用机械,20200408
1423,002980.SZ,002980,华盛昌,深圳,电器仪表,20200415
1424,002981.SZ,002981,朝阳科技,广东,元器件,20200417
1425,002982.SZ,002982,湘佳股份,湖南,农业综合,20200424
1426,002983.SZ,002983,芯瑞达,安徽,元器件,20200428
1427,002984.SZ,002984,森麒麟,山东,汽车配件,20200911
1428,002985.SZ,002985,北摩高科,北京,航空,20200429
1429,002986.SZ,002986,宇新股份,湖南,化工原料,20200602
1430,002987.SZ,002987,京北方,北京,软件服务,20200507
1431,002988.SZ,002988,豪美新材,广东,铝,20200518
1432,002989.SZ,002989,中天精装,深圳,装修装饰,20200610
1433,002990.SZ,002990,盛视科技,深圳,软件服务,20200525
1434,002991.SZ,002991,甘源食品,江西,食品,20200731
1435,002992.SZ,002992,宝明科技,深圳,元器件,20200803
1436,002993.SZ,002993,奥海科技,广东,元器件,20200817
1437,002995.SZ,002995,天地在线,北京,互联网,20200805
1438,002996.SZ,002996,顺博合金,重庆,铝,20200828
1439,002997.SZ,002997,瑞鹄模具,安徽,专用机械,20200903
1440,002998.SZ,002998,优彩资源,江苏,化纤,20200925
1441,002999.SZ,002999,天禾股份,广东,批发业,20200903
1442,003000.SZ,003000,劲仔食品,湖南,食品,20200914
1443,003001.SZ,003001,中岩大地,北京,建筑工程,20201013
1444,003002.SZ,003002,壶化股份,山西,化工原料,20200922
